scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,tags,income_max,category,disability_required,education_level,course,cgpa_min,benefit_type,benefit_amount,state,gender
Educational Assistance (Scheme for the Pre-Matric and Post-Matric Scholarship to Children of Construction Workers Registered with the MBOCWWB),easppsccwrmbocwwb,"The “Educational Assistance (Scheme for the Pre-Matric and Post-Matric Scholarship to Children of Construction Workers Registered with the Building & Other Construction Workers' Welfare Board)” is implemented by the Meghalaya Building and Other Construction Workers Welfare Board, Labour Department, Government of Meghalaya. Under the scheme, scholarships in the form of financial assistance shall be provided to children of construction workers registered under the Board. These scholarships will be applicable for courses of study specified by the Board from time to time. Objective: The objective is to provide financial assistance to children of Construction workers for Pre-Matric and Post-Matric studies to enable them to complete their education. Scope: These scholarships are available for studies in India only and are awarded by the Building & Other Construction Workers' Welfare Board from the funds available with the Welfare Board.","Value of the Scholarship: 1.	The rate of the scholarship for different courses/subjects is as follows: Sl. No. Level of Study Stipend (Per Month) 1 Degree ₹800/- 2 Diploma ₹600/- 3 Certificate course ₹600/- 4 Class XI & XII ₹600/- 5 Class VIII to X ₹500/- 6 Class V to VII ₹400/- 2. Reader’s charges for Blind students (Blind Scholars): Blind Students/Scholars will be given an additional amount of ₹200/- per month as ""Readers charges subject to production of disability certificate issued by the competent authority"". 3. A One Time Book and Uniform Grant to students at 2 months stipend will be granted for the students of the following group of classes: Sl. No. Class/Course Grant Amount (One time Grant) 1 Class I- Class II ₹400/- 2 Class III- Class IV ₹600/- 3 Class 5 - Class 7 ₹800/- 4 Class 8 - Class 10 ₹1,000/- 5 Class 11 - Class 12 ₹1,200/- 6 Certificate course ₹1,200/- 7 Diploma course ₹1,200/- 8 Degree course ₹1,600/- Note: The rates and the type of courses for which the scholarship will be granted are subject to revision from time to time. Duration of Awards: The award once made will be tenable from the stage at which it is given to the completion of the course, subject to good conduct and regular attendance. Noncompliance with any of the eligibility conditions and rules may cause the discontinuity of the scholarship at any time. Payment: The stipend will be paid to the selected students by the Building & Other Construction Workers Welfare Board in accordance with the procedure laid down by the Building & Other Construction Workers Welfare Board.","The beneficiary should be a resident of Meghalaya. The beneficiary should be engaged in a building or other construction work. The beneficiary should be registered under the Meghalaya Building & Other Construction Workers Welfare Board. The beneficiary should have an active membership of the Board. The children of beneficiary/registered workers should be enrolled in any grade from Class I to Degree Course. The children of workers must not be in receipt of any other financial assistance from any other source. Only two children of the same parents/ guardians will be entitled to receive scholarships. This restriction will apply to girls also. Note 01: These scholarships will be awarded for the study of all recognized Pre-Matric and Post-Matric courses pursued in recognized institutions, with the exception of courses with a duration of 6 (months) or less. Note 02: The children of workers applying for Post-Matric scholarships should possess the relevant qualification from any recognized institution. An original certificate from the institution of study must be produced by the children of workers. Note 03: The scholarship shall be tenable for the prescribed duration of a course. A student who is in receipt of the scholarship, but failing to pass in a particular year shall not receive further scholarship till he/ she passes the specific year of the course. The institution shall certify to that effect. Note 04: Special provision is provided for exceptionally meritorious students. Note 05: Special relaxation for physically handicapped children in cut-off mark obtained. Renewal of Awards: The children of workers will have to apply afresh for renewal of the scholarship from year to year, provided that the student secures promotion to the next higher class irrespective of that fact whether such examination was conducted by the institution. Other Conditions: If a student is found to have obtained a scholarship by misrepresentation, his/her scholarship will be cancelled forthwith and the amount of the scholarship paid will be recovered, at the discretion of the Building & Other Construction Workers Welfare Board. A scholarship awarded may be cancelled if the student changes the subject of the course of study for which the scholarship was originally awarded or changes the institution of study without prior approval of the Building & Other Construction Workers Welfare Board. A student may have to refund the scholarship amount at the discretion of the Building & Other Construction Workers' Welfare Board if during the course of the year, the studies for which the scholarship has been awarded, are discontinued by him/her. The Rules & Regulations of the Scheme can be also altered/modified at any time at the discretion of the Building & Other Construction Workers' Welfare Board.","Online Worker Registration Process (Portal): Step 01: The applicants may visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm ﻿ Step 02: The applicant can register by creating a new account, on the home page click on the ‘Worker’ button and enter all the mandatory information. Step 03: After filling in all the details, click on ‘Register’. Step 04: After successful registration, the applicant will see the message “Registered Successfully”. Application Process for New Registration under the MBOCWWB: Step 01: Visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm ﻿ Step 02: Enter your User ID (Registered Mobile Number), Password, and Enter Security Code. Click on Login. Step 03: After successful login, click on ‘Apply for New Registration’ from the menu. Step 04: Fill in all the required details in the Registration Form i.e. Personal Details, Service/Work Details, Bank Details, and Demographic Details, etc. Step 05: Click on Submit. Step 06: After successful registration, you will be directed to another page to manage all the Family & Nominee Details. Click on ‘Add New’ to add Family members and Nominee Details. Step 07: After adding all the Family & Nominee Details, click on Proceed. Step 08: Now upload all the required enclosures i.e. Photograph, ID Proof, Employer Certificate/Self Certification, and Bank Passbook of the Worker. Step 09: Click on the Complete Button to complete the registration process. Step 10: Once your application has been processed and verified by Block/District LDA, Block/District Labour Inspector, and approved District Labour Commissioner (DLC), a Registration Certificate will be generated. Application Process for Educational Scholarship: Step 01: Visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm ﻿ Step 02: Enter your User ID (Registered Mobile Number), Password, and Enter Security Code. Click on Login. Step 03: After successful login, click on the “Educational Scholarship” scheme from the Dashboard. Step 04: Fill in all the required information and necessary enclosures. Step 05: Click Submit to apply for benefits. Application Process to Track/Update: Step 01: Visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm ﻿ Step 02: Enter your User ID (Registered Mobile Number), Password, and Enter Security Code. Click on Login. Step 03: From the menu, click on ‘Track Application Status’. Step 04: Click on ‘View Details’ to view your application. Step 05: Click on ‘Application History’ to view the application history. Step 06: Click on ‘Update’ to update your application. Note: Once your application is under process or processed, you cannot update it. ( Worker’s User Manual ) Note: The Building & Other Construction Workers Welfare Board will announce the details of the Scheme at the appropriate time of the year as the Board deems fit.","Enclosures required for New Registration under MBOCWWB: Photograph of the worker ID Proof of worker (Electoral Card, Ration Card, Driver's License, Aadhaar Card, Passport are acceptable) Employer Certificate/Self Certification (Issued Either by the Labour Inspector or the Employer or SDO/AEE of Works Department) Bank Passbook of the worker eShram ID card, if any Age proof of concerned building worker/applicant i.e. School certificate, Certificate from the Registrar of Birth and Deaths, Certificate from the Medical Officer not below the rank of an Assistant Surgeon in Government Service, Electoral Photo Identity Card Nomination Form duly signed by the applicant Self-declaration towards non-enrolment as a member of any other welfare fund/ board SC/ST Certificate (if applicable) Any other documents as required Enclosures required for application of Educational Assistance: MBOCWWB ID Card Birth Certificate of the student Two copies of passport-size photograph with signature of student thereon One attested copy of each of the relevant certificates with respect to the examination passed by the student Attested copy of the Constitution workers' registration card A receipt in acknowledgment of the scholarship in the previous year, if the student was in receipt of a scholarship under this Scheme in the preceding year Annual Course Fee of the student from the School/Institute Concern, if any ﻿ Clearance Certificate by the Head of the Institution ﻿ Verification/Information Certificate by the Head of the Institution Bank account details/ Bank Passbook Any other documents as required",State,"Education & Learning, Social welfare & Empowerment","Educational Assistance, Pre-Matric, Post-Matric, Scholarship, Building Worker, Construction Worker, Student, Labour",,,False,School,,,scholarship,1600.0,Meghalaya,Female
Educational Assistance For Children Of Victims Of Crime,eacvc,"The scheme “Educational Assistance for Children of Victims of Crime” was launched by the Department of Social Justice, Government of Kerala. In order to strengthen the victim support services in the State, the Government of Kerala has launched this scheme which provides educational assistance for children of survivors (victims) of crime. The dependents of survivors (victims) including children find it difficult to continue their studies due to financial constraints since the family has to meet the treatment expenses. Survivors (Victims) of crime are defined as those who suffer out of a crime and for no fault of their own. Being a survivor (victim) of a crime can be a shocking and harrowing experience. The trauma of victimization can have a devastating impact on crime survivors (victims) and their loved ones; especially children. The survivors (victims) and their families go through tremendous stress and suffer financially, socially, and psychologically.","Under the scheme, the following financial assistance will be given to the eligible applicant: Sl. No. Classes/Courses Amount of Assistance 1 Children studying in classes 1 to 5 ₹3000/- per year 2 Children studying in classes 6 to 10 ₹5000/- per year 3 Higher Secondary ₹7500/- per year 4 Graduate students ₹10,000/- per year 5 PG/M.Phil course students ₹15,000/- per year Note: The amount will be transferred to the joint account of the child and the current parent.","The applicant should be a native and resident of Kerala State. The children/dependents of survivors (victims) of crime are eligible to apply under the scheme. The combined annual income of the families should be less than ₹1,00,000/-. The children pursuing a degree and higher education courses in government and aided institutions and admitted to merit seats in unaided institutions are eligible for financial assistance in courses from the degree level onwards. Note: If granted for one year, the amount can be granted in subsequent years if the head of the school or college or the head of the newly joined institution certifies that the child will continue his education.","Registration Process: Step 01: To avail of the benefits of the scheme, the applicant needs to visit SUNEETHI- Online Service Application Portal ﻿ Step 02: On the home page, click on “One time Registration” Step 03: Fill in the details like Name, Email ID & Mobile Number and click on ‘Register’. Step 04: The applicant needs to enter the verification code received on the mobile number and click on ‘Verify’. Step 05: Now, a form will open to create the new profile, fill in all the mandatory details and click on ‘Register’. Login Application Process: Step 01: Once the registration process is completed, the applicant should visit SUNEETHI- Online Service Application Portal and click on “Citizen Login”. Step 02: Enter the user name i.e. Mobile Number and Password and click on “Sign in”. Step 03: Now, the applicant needs to update all their details i.e. Personal Information, Contact Details, Identity Cards & Bank Details by clicking on the 'Edit' button. Step 04: Once the applicant updated their profile successfully, the schemes will appear on the left side of the screen. Step 05: Select the scheme and click on the “Apply Now” button. Step 06: Fill in all the mandatory details in the application form and click on the ‘Submit’ button.","Copy of Aadhaar card Mobile number Email id Passport Size Photograph Copy of Ration Card (Submit the page containing the name of the ration card holder and the page containing the family members together) Certificate from the school attended by the student Income Certificate Certificate from Ward Councillor/Member or Panchayat/Nagar Sabha Chairperson/Chairman or Local Station House Officer Copy of FIR Copy of Bank Passbook- Joint bank account details of student and parent Other documents, if any",State,"Social welfare & Empowerment, Education & Learning","Children, Victim, Education, Scholarship, Survivor, Dependent",100000.0,,False,UG,,,financial_assistance,15000.0,Kerala,
Educational Assistance To Children Of Prisoners,eacp,"The scheme “Educational Assistance to Children of Prisoners” was launched by the Department of Social Justice, Government of Kerala. There are many persons imprisoned, some for known reasons and others for unknown reasons. Once they are lodged in jail their families that are suffering the most. They get ostracized from society. Due to the lack of money, their children might be denied education at a very early age itself. This might have huge repercussions later it may lead to the birth of new criminals in society. Therefore, the government has initiated such a scheme that aims at bringing these people to the mainstream of society.","Under the scheme, scholarship/financial assistance will be provided to the children of prisoners for their expenses like food, clothing, school fees, etc. as under: Sl. No. Classes/Courses Amount of Scholarship/Financial Assistance 1 1st Std. to 5th Std. ₹500/- per month 2 6th Std. to 10th Std. ₹750/- per month 3 +1 (Plus one) & +2 (Plus two) ₹1000/- per month 4 Degree/Professional Course ₹1500/- per month Note: Degree/ Professional course must be in Government/ Aided colleges inside Kerala.","1.	The applicant should be a native and resident of Kerala State. 2.	The applicants should be from Below Poverty Line (BPL) category. 3.	The applicants should be studying in Class- I to Degree/Professional Course. 4.	The applicants (Children of Prisoners) whose parents are in jail are eligible to apply under the scheme. Note: Financial aid can be provided to the children even though the relatives, who are liable to protect them and falls under the Above Poverty Line (APL) category, provided both the parents are in jail, for that an inquiry report of the District Probation Officer is essential.","Registration Process: Step 01: To avail of the benefits of the scheme, the applicant needs to visit SUNEETHI- Online Service Application Portal ﻿ Step 02: On the home page, click on “One time Registration” Step 03: Fill in the details like Name, Email ID & Mobile Number and click on ‘Register’. Step 04: The applicant needs to enter the verification code received on the mobile number and click on ‘Verify’. Step 05: Now, a form will open to create the new profile, fill in all the mandatory details and click on ‘Register’. Login/Application Process: Step 01: Once the registration process is completed, the applicant should visit SUNEETHI- Online Service Application Portal and click on “Citizen Login”. Step 02: Enter the user name i.e. Mobile Number and Password and click on “Sign in”. Step 03: Now, the applicant needs to update all their details i.e. Personal Information, Contact Details, Identity Cards & Bank Details by clicking on the 'Edit' button. Step 04: Once the applicant updated their profile successfully, the schemes will appear on the left side of the screen. Step 05: Select the scheme and click on the “Apply Now” button. Step 06: Fill in all the mandatory details in the application form and click on the ‘Submit’ button.","Copy of Aadhaar card Mobile number Email id Passport size photo Copy of Ration Card (Submit the page containing the name of the ration card holder and the page containing the family members together) ﻿ Certificate from the school attended by the student ﻿ Affidavit of Jail Superintendent Bank details- Copy of Passbook Other documents, if any",State,"Education & Learning, Social welfare & Empowerment","Student, Prisoner, Scholarship, Education, BPL, Children",,,False,School,,,scholarship,1500.0,Kerala,
Educational Assistance To Children Of Prisoners (Pursuing Professional Course),eacpppc,"The scheme “Educational Assistance to Children of Prisoners (Pursuing Professional Course)” was launched by the Department of Social Justice, Government of Kerala. To help the children of prisoners, the Government of Kerala has devised this scheme which provides educational assistance to children of prisoners up to degree-level courses as per G.O (RT) No. 322/2014/SJD dated 08-05-2014. When an individual gets convicted and punished for any crime it's not only the person who suffers, the one who suffers the most are their children. They get deprived of all their rights; they face a lack of opportunities for education and a financial crisis. When compared to the present educational standards, the assistance provided to children pursuing degree-level professional courses in Government / Aided colleges is inadequate. Considering the different types of fee structures for professional courses, State Government has fixed the assistance amount for children of prisoners to ₹100,000/- (per student) including annual fees & hostel fees.","Under the scheme, State Government is providing assistance amount of ₹100,000/- (per student) to the children of prisoners for pursuing degree-level professional courses in Government / Aided colleges. Note 01: The assistance amount also includes annual fees & hostel fees. Note 02: The assistance will be given to more than one child belonging to a single family.","1.	The applicant should be a native and resident of Kerala State. 2.	The applicants should belong to Below Poverty Line (BPL) category. 3.	The applicant must be the child of a prisoner sentenced to life imprisonment or death sentence. 4.	Those applicants who have been admitted to courses through merit basis are eligible for assistance. 5.	Applicant must have secured 70 % or above marks in Higher secondary level exams. Note 01: Educational assistance is being provided for Degree level professional courses in Government/ Aided colleges inside Kerala. Note 02: For courses like MBBS, B.VSc. assistance will be provided only if the children are studying in Government colleges. Note 03: In case both mother and father are convicts and the child is being looked after by a relative who belongs to the Above Poverty Line (APL) category then the application can only be considered based on the inquiry report submitted by the Probation Officer. Note 04: If more applicants are made, preference will be given based on the percentage of marks.","Registration Process: Step 01: To avail of the benefits of the scheme, the applicant needs to visit SUNEETHI- Online Service Application Portal ﻿ Step 02: On the home page, click on “One time Registration” Step 03: Fill in the details like Name, Email ID & Mobile Number and click on ‘Register’. Step 04: The applicant needs to enter the verification code received on the mobile number and click on ‘Verify’. Step 05: Now, a form will open to create the new profile, fill in all the mandatory details and click on ‘Register’. Login/Application Process: Step 01: Once the registration process is completed, the applicant should visit SUNEETHI- Online Service Application Portal and click on “Citizen Login”. Step 02: Enter the user name i.e. Mobile Number and Password and click on “Sign in”. Step 03: Now, the applicant needs to update all their details i.e. Personal Information, Contact Details, Identity Cards & Bank Details by clicking on the 'Edit' button. Step 04: Once the applicant updated their profile successfully, the schemes will appear on the left side of the screen. Step 05: Select the scheme and click on the “Apply Now” button. Step 06: Fill in all the mandatory details in the application form and click on the ‘Submit’ button.","Copy of Aadhaar card Mobile number Email id Passport size photo Copy of Ration Card ﻿ Certificate from the college with the annual fee, hostel fee, bank account number of the college, IFSC number, and proof that the student has been admitted to the merit seat Copy of the previous year's certificate ﻿ Jail Superintendent's Certificate ﻿ Other documents, if any Note: If the Name of the convict’s child has not been included in the Ration card, then the applicant has to submit the Village officer’s declaration statement specifying that the applicant is the daughter/son of the convict. ﻿",State,"Education & Learning, Social welfare & Empowerment","Children, Prisoner, Student, Financial Assistance, Professional Course, Degree",,,False,UG,,70.0,accommodation,100000.0,Kerala,
Educational Assistance for Degree Course,eafdc,"The Educational Assistance for Degree Course scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. The scheme provides financial assistance of ₹20,000/- per year to children of registered construction workers pursuing their undergraduate degrees. This benefit is also extended to the wife of a registered male worker.","Financial assistance of ₹20,000/- per year for undergraduate students. ﻿ ﻿","The children's parents or guardians should be registered under the Maharashtra Building and Other Construction Workers Welfare Board. The student must be enrolled in a degree course (1st, 2nd, 3rd, or 4th year). The benefit applies to a maximum of two children and the wife of a registered male worker. ﻿","Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet/School Certificate of passing in the previous academic level. Acknowledgment/Bonafide of Admission in the current academic year. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Education & Learning,"Financial Assistance, Degree, Construction Worker, Student, Scholarship",,,False,,,,financial_assistance,20000.0,Maharashtra,Male
Educational Assistance for Government Recognised Diploma Courses,eagrdc,"The Educational Assistance for Government Recognised Diploma Courses scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. The scheme aims to provide financial assistance to children of registered construction workers, providing ₹20,000/- per year for diploma courses and ₹25,000/- per year for postgraduate diploma courses.","Financial Assistance For: Government Recognized Diploma Courses- ₹20,000/- Postgraduate Diploma Courses- ₹25,000/- ﻿ NOTE: Benefit applies to a maximum of two children and to the wife of registered male workers.",The applicant should be a resident of Maharashtra. The applicant should be a child or spouse of a registered construction worker. The construction worker should be registered under the MBOCWW. The applicant must be enrolled in a government-recognized diploma or postgraduate diploma course. ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet/School Certificate of passing in the previous academic level. Acknowledgment/Bonafide for admission in the current academic year. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Education & Learning,"Financial Assistance, Diploma, Construction Worker, Student, Scholarship",,,False,Diploma,,,financial_assistance,25000.0,Maharashtra,
Educational Assistance to the 10th to 12th Students,eatt10t12s,"The Educational Assistance to the 10th to 12th Students scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. Under this scheme, educational assistance of ₹10,000/- to the children of the registered worker scoring 50% or more marks in the 10th and 12th standard examinations.","Financial assistance of ₹10,000/- for children scoring 50% or more in 10th or 12th standard exams.",The children's parents or guardians should be registered under the Maharashtra Building and Other Construction Workers Welfare Board. The child must have passed the 10th or 12th standard with at least 50% marks. Only children and spouse of registered construction workers are eligible to get educational assistance.,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet for at least 50% or more secured marks. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿,State,Education & Learning,"Financial Assistance, Student, Construction Worker, Scholarship, Labour",,,False,,,50.0,financial_assistance,10000.0,Maharashtra,
Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class,eacs1t7a8t10,"The Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class scheme is implemented by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. Under this scheme, educational assistance of ₹2,500/- to the children studying in 1st to 7th standard and ₹5,000/- for the children studying in 8th to 10th standard of the registered construction workers. The scheme covers up to two children and the wife of a registered male worker. ﻿ ﻿","Financial Assistance: 1 st to 7 th Class: ₹2,500/- 8 th to 10 th Class: ₹5,000/- ﻿ ﻿",The worker should be engaged in a building or other construction work. The worker should be registered under the Maharashtra Building & Other Construction Workers Welfare Board. The children or a registered male worker's wife should be enrolled in any grade from Class 1st to 10th. Only two children or a registered male worker's wife will be entitled to scholarships. ﻿ ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner / Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). ﻿ ﻿",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. School Certificate of 75% Attendance. Proof of Residence (One of Aadhaar Card/Passport/Driving License/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Education & Learning,"Building Worker, Student, Construction Worker, Educational Assistance, Labour",,,False,School,,,financial_assistance,5000.0,Maharashtra,Male
Educational Assistance to the Children of the Registered Worker Studying in 11th and 12th Standard,eacrws11a12s,"The Educational Assistance to the Children of the Registered Worker Studying in 11th and 12th Standard scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. The scheme provides financial assistance ₹10,000 per year to children of registered construction workers who are studying in the 11th or 12th standard. The benefit applies to a maximum of two children per worker and extends to the wife of a registered male worker.","Financial assistance of ₹10,000 per year for children studying in 11th and 12th grades. ﻿ Note: Benefit applies to up to two children and the wife of a registered worker.",The children's parents or guardians should be registered under the Maharashtra Building and Other Construction Workers Welfare Board. The child/wife must be studying in 11th or 12th standard. Only children and spouse of registered construction workers are eligible to get educational assistance. ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. MarkSheet for 11th or 12th standard. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Education & Learning,"Financial Assistance, Student, Scholarship, Graduation, Construction Worker",,,False,,,,financial_assistance,10000.0,Maharashtra,
Educational Award Scheme - Gujarat Labour Welfare Board,eas-glwb,"The “Educational Award Scheme” is implemented by the Gujarat Labour Welfare Board, Labour, Skill Development & Employment Department, Government of Gujarat. The scheme has been implemented to encourage the students of the Labours to increase their enthusiasm and to get higher education through it.","Under the scheme, children of laborers who have passed 70% or above marks in the 10th Standard will receive ₹2,500/- as an award. The children of laborers who have passed 70% or above marks in the 12th Standard will receive ₹5,000/- as an award.",Only the children (students) whose parents are working in a factory/institute in the state of Gujarat and whose parents have been paying the Labour Welfare Fund will be eligible for this scheme. The children of labourers who have passed 70% and above marks in the 10th or 12th Standard can avail the benefits under the scheme.,"Step 01: The applicant may visit the Sanman Portal: https://sanman.gujarat.gov.in/ ﻿ Step 02: On the home page, under the tab ‘Citizen Login’, click on ‘ Please Register Here ’. Step 03: Enter your Aadhaar Card Number, select user type, and then enter Labour Welfare Fund Account Number. Step 04: Now, click on ‘Fetch’ & verify the details. Step 05: Enter user details and Password. Step 06: After successful registration, the applicants can login through their User ID and Password. Step 07: Now, select the scheme and read the instructions carefully for the selected scheme. Step 08: Fill out the application form and upload all the relevant documents. Step 09: Agree with the Rules & Regulations and submit the application form. A confirmation email with the application Number will be sent on the registered email ID.","Passport-size Photograph ID Card of Labour Aadhaar Card of Labour Labour Welfare Fund Account Number Ration Card Caste Category certificate, if applicable Residence proof Bank account details/Bank Passbook Marksheet of Child/Passing Certificate Identity proof of Child i.e. Aadhaar Card Any other documents as required",State,"Education & Learning, Social welfare & Empowerment","Labour, Student, Education, Award",,,False,,,70.0,award,5000.0,Gujarat,
Educational Study Scheme,essg,"The ""Educational Study Scheme"" introduced by the Social Justice and Empowerment Department, Gujarat, aims to support students pursuing undergraduate and postgraduate professional courses by providing affordable education loans. The loan is available for courses accredited by the relevant councils and is applicable for students studying within Gujarat as well as in other states/UTs for select higher education institutions like IIM, IIT, NID, NIFT, IRMA, and TISS. The scheme is being implemented by the Gujarat Unreserved Education and Economical Development Corporation.","Financial Assistance:  A loan of the total tuition fee of the entire course or ₹10,00,000/-, whichever is less, will be provided by the Corporation at a simple interest of 4%. Collateral: For loans of total loan amount of ₹7,50,000/- or less for the entire course, a charge of one and a half times the loan amount will have to be registered on the beneficiary's own or relative's property. If the total loan amount for the entire course is more than ₹7,50,000/-, the immovable property of oneself or any other relative equal to that total amount will have to be mortgaged in favor of the Corporation. Loan repayment: In case of total loan up to ₹5,00,000/-, the loan amount along with interest will have to be repaid in equal monthly installments over 5 (five) years, 1 year after completion of studies. In case of loan of more than ₹5,00,000/-, the loan amount along with interest will have to be repaid in equal monthly installments over 6 (six) years, starting 1 year after completion of studies. The loan amount being repaid will be credited first as interest. The borrower can repay the loan even before the specified time limit.","The applicant must be from Gujarat The applicant must belong to the unreserved category. The applicant must have passed Standard 12 with 60% or more from any school in the state of Gujarat. The annual family income limit for state educational loan schemes will remain at ₹6,00,000/- or less. ﻿ Note: Priority is given to widows and orphans when sanctioning loans under this scheme. The loans of those who drop out mid-studies or fail to obtain a degree within the stipulated time frame will be subject to recovery at once and interest subsidy will not be available. ﻿","Registration Process: Step 1: Go to the Corporation's official website and navigate to the ""Gujarat Unreserved Education and Economical Development Corporation"" section under the Corporation menu. Step 2: Click on ""Training Assistance for Competitive Examinations"" and then Apply Now. Step 3: Click on ""New User? Please Register Here"". Step 4: Enter the required details and click Register. ﻿ Application Process: Step 1: Enter your User ID, Password, and Captcha Code, then click ""Login"". Step 2: Read the scheme details carefully and click OK. Step 3: If your permanent address is correct, confirm it. Otherwise, enter your correct address. Step 4: Click Save & Next to proceed. Upload the relevant documents. Step 5: If you need to make changes, click ""No, Cancel"". If all details are correct, click ""Yes, Submit"". Step 6: Click Save Application. Note down your Application Number for future reference. You can also take a printout by clicking Print Application. ﻿ Check Application Status:  Click here . Post Online Application Procedure: After submitting the online application, the applicant must take a printout of the application, sign it, and submit it along with all uploaded documents (certificates, mark sheets, etc.) to the concerned Deputy Director (Non-Reserved Category) or the District Social Welfare Officer through courier, post, or by visiting in person. Contact Us:  Click here . ﻿",School Leaving Certificate (or Birth Certificate) Aadhaar Card Copy Ration Card Copy Residence Proof Annual Family Income Certificate Non-Reserved Category Certificate IT Return Class 10th & Class 12th Marksheet Copy (or Diploma Certificate) Proof of the period between graduation & application date (if applicable),State,"Education & Learning, Banking,Financial Services and Insurance, Social welfare & Empowerment","Study Loan, Education, Tuition Fee",600000.0,,False,,,60.0,loan,1000000.0,Gujarat,
